,Active_Customers_Total_Revenue,Q1, [Chart 4]Wayfair Reported Net Revenue per Active Customer, [Chart 1]Wayfair Reported Active Customers,US Direct Retail,Revenue_Est
0,2381008.0,1,392.0,6074.0,672.7,593.45617008723
1,2695488.0,0,404.0,6672.0,702.408,762.9607576288874
2,2988972.0,0,406.0,7362.0,759.674,825.014961374106
3,3258750.0,0,395.0,8250.0,858.583,882.0567727777176
4,3488870.0,1,394.0,8855.0,838.0,827.7023104887007
5,3837894.0,0,402.0,9547.0,976.673,1004.5108751268092
6,4182000.0,0,408.0,10250.0,1033.669,1077.2685853732014
7,4637780.0,0,422.0,10990.0,1227.507,1173.6386259307637
8,5095440.0,1,432.0,11795.0,1186.205,1167.3951799839906
9,5628480.0,0,440.0,12792.0,1397.0,1383.112054296153
10,6139980.0,0,443.0,13860.0,1460.065,1491.2635215505154
11,6713665.0,0,443.0,15155.0,1708.705,1612.5633739294376
12,7252336.0,1,442.0,16408.0,1644.05,1623.4488791336776
13,7956600.0,0,447.0,17800.0,1989.026,1875.3693249593512
14,8562879.0,0,449.0,19071.0,1960.847,2003.5608467883003
15,9089920.0,0,448.0,20290.0,2132.1609999999996,2114.9983002647546
16,9477492.0,1,449.0,21108.0,1964.983,2093.9354603064
