Pool - Unavailable,UberX, WAV, UberXL, Car Seat, Black, Black SUV, Start, Stop, Datetime
27.89,31.88,31.88,36.61,43.02,53.99,79.33,Grand Central,World Trade Center New York NY,2020-06-04 12:00:00
49.17,51.52,51.52,62.65,73.33,99.46,142.17,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-04 12:00:00
40.33,44.75,44.75,51.80,55.88,71.66,102.11,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-04 12:00:00
22.91,26.54,26.54,29.46,37.67,44.72,65.79,Grand Central,World Trade Center New York NY,2020-06-04 18:00:01
55.40,58.08,58.08,69.22,81.64,110.00,156.68,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-04 18:00:01
43.72,48.39,48.39,55.63,59.52,76.55,108.90,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-04 18:00:01
21.04,24.53,24.53,27.51,35.66,42.25,62.41,Grand Central,World Trade Center New York NY,2020-06-04 23:00:00
47.13,49.39,49.39,60.52,70.70,96.11,137.61,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-04 23:00:00
39.15,43.48,43.48,50.54,54.61,70.05,99.91,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-04 23:00:00
20.75,24.87,24.87,27.14,35.38,41.93,62.06,Grand Central,World Trade Center New York NY,2020-06-05 08:00:00
46.32,48.52,48.52,59.66,69.46,95.05,136.05,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-05 08:00:00
38.92,43.30,43.30,50.36,54.43,70.05,99.72,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-05 08:00:00
23.29,26.95,26.95,29.87,38.09,45.25,66.51,Grand Central,World Trade Center New York NY,2020-06-05 12:00:01
49.23,51.59,51.59,62.73,73.74,100.00,143.07,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-05 12:00:01
41.13,45.59,45.59,52.61,56.73,72.69,103.50,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-05 12:00:01
23.50,27.18,27.18,30.09,38.31,45.53,66.89,Grand Central,World Trade Center New York NY,2020-06-05 18:00:00
53.71,56.30,56.30,67.43,79.44,107.22,152.88,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-05 18:00:00
42.17,46.72,46.72,54.00,57.86,74.50,106.10,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-05 18:00:00
21.41,24.94,24.94,27.89,36.08,42.75,63.09,Grand Central,World Trade Center New York NY,2020-06-05 23:00:01
47.63,49.92,49.92,61.06,71.36,96.92,138.73,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-05 23:00:01
39.53,43.88,43.88,50.94,55.02,70.57,100.62,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-05 23:00:01
21.24,24.75,24.75,27.73,35.89,42.52,62.79,Grand Central,World Trade Center New York NY,2020-06-06 08:00:01
46.81,49.04,49.04,60.18,70.29,95.58,136.88,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-06 08:00:01
39.81,44.18,44.18,51.22,55.32,70.93,101.11,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-06 08:00:01
27.00,30.94,30.94,35.70,42.07,52.83,77.77,Grand Central,World Trade Center New York NY,2020-06-06 12:00:01
48.38,50.70,50.70,61.84,72.29,98.13,140.37,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-06 12:00:01
40.51,44.94,44.94,51.96,56.08,71.89,102.40,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-06 12:00:01
23.20,26.85,26.85,30.07,37.99,45.54,67.04,Grand Central,World Trade Center New York NY,2020-06-06 18:00:01
47.38,49.64,49.64,60.77,71.02,96.50,138.16,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-06 18:00:01
39.67,44.05,44.05,51.10,55.19,70.78,100.89,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-06 18:00:01
21.40,24.93,24.93,27.97,36.06,42.85,63.26,Grand Central,World Trade Center New York NY,2020-06-06 23:00:01
47.63,49.92,49.92,61.06,71.35,96.91,138.70,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-06 23:00:01
39.99,44.37,44.37,51.41,55.50,71.17,101.41,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-06 23:00:01
20.95,24.44,24.44,27.42,35.58,42.13,62.26,Grand Central,World Trade Center New York NY,2020-06-07 08:00:00
46.53,48.73,48.73,59.87,69.92,95.11,136.25,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-07 08:00:00
39.17,43.50,43.50,50.56,54.63,70.09,99.96,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-07 08:00:00
27.06,30.99,30.99,35.74,42.13,52.90,77.83,Grand Central,World Trade Center New York NY,2020-06-07 12:00:00
47.31,49.56,49.56,60.70,70.92,96.38,137.99,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-07 12:00:00
39.52,43.87,43.87,50.94,55.00,70.57,100.62,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-07 12:00:00
26.59,30.49,30.49,35.26,41.63,52.29,77.03,Grand Central,World Trade Center New York NY,2020-06-07 18:00:00
47.23,49.48,49.48,60.62,70.84,96.27,137.83,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-07 18:00:00
39.92,44.30,44.30,51.35,55.44,71.11,101.34,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-07 18:00:00
21.35,24.87,24.87,27.84,36.01,42.67,62.98,Grand Central,World Trade Center New York NY,2020-06-07 23:00:01
47.60,49.88,49.88,61.01,71.28,96.84,138.59,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-07 23:00:01
39.79,44.16,44.16,51.20,55.30,70.90,101.06,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-07 23:00:01
21.92,25.47,25.47,28.45,36.61,43.44,64.05,Grand Central,World Trade Center New York NY,2020-06-08 08:00:00
48.72,51.05,51.05,62.19,73.06,99.12,141.88,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-08 08:00:00
40.54,44.97,44.97,52.02,56.11,71.93,102.47,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-08 08:00:00
22.44,26.04,26.04,28.97,37.17,44.11,64.93,Grand Central,World Trade Center New York NY,2020-06-08 12:00:00
49.73,52.11,52.11,63.25,74.37,100.78,144.13,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-08 12:00:00
41.70,46.22,46.22,53.52,57.36,73.87,105.25,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-08 12:00:00
23.68,27.32,27.32,29.64,37.96,44.90,66.98,Grand Central,World Trade Center New York NY,2020-06-08 18:00:01
52.15,54.65,54.65,65.71,77.01,104.01,149.43,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-08 18:00:01
41.75,45.93,45.93,53.92,57.79,74.45,106.00,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-08 18:00:01
21.34,24.86,24.86,27.83,36.00,42.65,62.96,Grand Central,World Trade Center New York NY,2020-06-08 23:00:00
47.36,49.61,49.61,60.75,70.91,96.36,137.91,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-08 23:00:00
40.08,44.49,44.49,51.46,55.62,71.24,101.50,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-08 23:00:00
27.33,31.28,31.28,36.04,42.42,53.27,78.37,Grand Central,World Trade Center New York NY,2020-06-09 08:00:00
49.72,52.10,52.10,63.24,74.02,100.31,143.33,Grand Central,John F. Kennedy International Airport Queens NY,2020-06-09 08:00:00
40.85,45.30,45.30,52.32,56.44,72.32,103.02,Grand Central,Citi Field 41 Seaver Way Queens NY,2020-06-09 08:00:00
